event_type,event_day,ocf_bucket,mean_car,n_events
departure,25,4,0.011740534966531801,41721
departure,25,5,0.014947765427354907,29436
departure,26,1,0.014709472056341011,32890
departure,26,2,0.015194834640339017,33811
departure,26,3,0.009214011921111103,38513
departure,26,4,0.011922715288337979,41716
departure,26,5,0.015340987362685314,29422
departure,27,1,0.015546331949483625,32887
departure,27,2,0.015510993090417174,33811
departure,27,3,0.009844177457271324,38506
departure,27,4,0.012557221368743862,41705
departure,27,5,0.015212673880340139,29415
departure,28,1,0.016237891073062425,32882
departure,28,2,0.016147275694639814,33806
departure,28,3,0.010660199865777797,38497
departure,28,4,0.013470248515268766,41698
departure,28,5,0.01565879812645873,29405
departure,29,1,0.017157939236610537,32880
departure,29,2,0.017118974146617238,33805
departure,29,3,0.011885304379895061,38495
departure,29,4,0.013999867401884204,41691
departure,29,5,0.01635647652009083,29397
departure,30,1,0.01747809416357014,32877
departure,30,2,0.016858857564429185,33798
departure,30,3,0.011686929882574477,38492
departure,30,4,0.013833655084091291,41676
departure,30,5,0.016389251685248747,29387
departure,31,1,0.017147421543507853,32874
departure,31,2,0.01679442567817812,33796
departure,31,3,0.011887321524978635,38485
departure,31,4,0.013849065374067797,41673
departure,31,5,0.01663785236987179,29377
departure,32,1,0.018612102863830214,32873
departure,32,2,0.018334907547499047,33792
departure,32,3,0.012838555516496066,38484
departure,32,4,0.014827903959575945,41669
departure,32,5,0.017915776238940667,29365
departure,33,1,0.02048694205890841,32870
departure,33,2,0.019510563135663326,33788
departure,33,3,0.014280355284188086,38478
departure,33,4,0.016017441648312935,41661
departure,33,5,0.01891196703242806,29355
departure,34,1,0.021578304498473894,32868
departure,34,2,0.02017420713658892,33784
departure,34,3,0.014681781626669065,38476
departure,34,4,0.01667717778953002,41655
departure,34,5,0.020130787399938545,29346
departure,35,1,0.020728594148006364,32868
departure,35,2,0.01947792672325198,33780
departure,35,3,0.014297390161781701,38472
departure,35,4,0.016261823178564463,41648
departure,35,5,0.02037956987862969,29337
departure,36,1,0.019816867942660146,32861
departure,36,2,0.018788571083500308,33772
departure,36,3,0.013734348722691693,38468
departure,36,4,0.015219050906969088,41639
departure,36,5,0.020340064592406375,29319
departure,37,1,0.02030726950336594,32854
departure,37,2,0.0194812032887606,33766
departure,37,3,0.014401003454160885,38465
departure,37,4,0.016015822360887756,41635
departure,37,5,0.021551387714884577,29311
departure,38,1,0.018757265535624276,32849
departure,38,2,0.018110496778998838,33762
departure,38,3,0.012820902420635988,38460
departure,38,4,0.01440892261728399,41624
departure,38,5,0.019432794105409778,29298
departure,39,1,0.019347608778973024,32845
departure,39,2,0.018889058396126295,33758
departure,39,3,0.013176331784962714,38459
departure,39,4,0.015092198106781448,41619
departure,39,5,0.019895883014290298,29290
departure,40,1,0.0199989040839697,32843
departure,40,2,0.0193385926499221,33752
departure,40,3,0.013210334371705929,38452
departure,40,4,0.015039840409494068,41608
departure,40,5,0.020273264213332913,29277
departure,41,1,0.02013681796443283,32829
departure,41,2,0.01949639969482289,33737
departure,41,3,0.01331728193402895,38445
departure,41,4,0.014994893127745256,41600
departure,41,5,0.02099776682638983,29266
departure,42,1,0.02124474995084427,32822
departure,42,2,0.02072204871595641,33731
departure,42,3,0.013807899664322954,38440
departure,42,4,0.01555385753567293,41588
departure,42,5,0.02146692572845145,29247
departure,43,1,0.0221251017049788,32817
departure,43,2,0.022231126184657685,33728
departure,43,3,0.015141586711969432,38436
departure,43,4,0.016752265054426427,41584
departure,43,5,0.02313301340106902,29235
departure,44,1,0.023367485757428683,32816
departure,44,2,0.02327407310202126,33725
departure,44,3,0.01657792168685157,38432
departure,44,4,0.018227248076803648,41580
departure,44,5,0.024586980536640657,29226
departure,45,1,0.024149750685826803,32772
departure,45,2,0.024010487834968383,33679
departure,45,3,0.017210827244744764,38396
departure,45,4,0.019000540392905826,41540
departure,45,5,0.024198099227438322,29209
departure,46,1,0.02351464485063556,32772
departure,46,2,0.024042435920676446,33666
departure,46,3,0.017084314935419807,38389
departure,46,4,0.019087355788110768,41531
departure,46,5,0.02417934100373548,29190
departure,47,1,0.02347418062525364,32772
departure,47,2,0.024304672463207,33664
departure,47,3,0.017215491369029372,38384
departure,47,4,0.019174018387202913,41529
departure,47,5,0.025636081925868616,29180
departure,48,1,0.022818792514366745,32772
departure,48,2,0.023999312088330203,33661
departure,48,3,0.01642335885462432,38378
departure,48,4,0.01801783311925096,41521
departure,48,5,0.025262778576593634,29168
departure,49,1,0.023942679973990744,32772
departure,49,2,0.024592775296568857,33659
departure,49,3,0.017521201155979844,38372
departure,49,4,0.019312906576939525,41516
departure,49,5,0.025867409092646836,29163
departure,50,1,0.023642967339504672,32771
departure,50,2,0.024663114540876205,33658
departure,50,3,0.0173732820069805,38366
departure,50,4,0.019410470967661023,41504
departure,50,5,0.02531882599161923,29153
departure,51,1,0.023976715379375842,32771
departure,51,2,0.024660178205784433,33650
departure,51,3,0.01790952895282014,38361
departure,51,4,0.01963969284113603,41493
departure,51,5,0.024720434539828737,29145
departure,52,1,0.02368963904854883,32763
departure,52,2,0.024979228070163548,33647
departure,52,3,0.017705730284540457,38358
departure,52,4,0.019020888384336482,41487
departure,52,5,0.024593969645031227,29141
departure,53,1,0.023364353478195234,32759
departure,53,2,0.024872273958945902,33643
departure,53,3,0.017814802272247684,38356
departure,53,4,0.018834806208976984,41482
departure,53,5,0.024329420424622283,29132
departure,54,1,0.02498521006719449,32755
departure,54,2,0.026450653990192266,33640
departure,54,3,0.01925539613170698,38352
departure,54,4,0.020357922893806432,41477
departure,54,5,0.025447558871179637,29129
departure,55,1,0.026140272960280486,32752
departure,55,2,0.02774496400036929,33633
departure,55,3,0.02029044049718301,38348
departure,55,4,0.021323249171116023,41468
departure,55,5,0.026551478404868545,29122
departure,56,1,0.026399422580342204,32752
departure,56,2,0.027941966591439982,33627
departure,56,3,0.020239615903643527,38344
departure,56,4,0.0210321356081936,41464
departure,56,5,0.026715611653899636,29113
departure,57,1,0.0254543766850164,32752
departure,57,2,0.027434763199595452,33624
departure,57,3,0.019996660717012078,38343
departure,57,4,0.02084131798010363,41453
departure,57,5,0.02714461650322552,29104
departure,58,1,0.02516552449383795,32752
departure,58,2,0.026686691748254998,33618
departure,58,3,0.019087186623090183,38337
departure,58,4,0.020415641147288277,41446
departure,58,5,0.027172592202261984,29093
departure,59,1,0.02601237627987758,32750
departure,59,2,0.027511757504628587,33614
departure,59,3,0.020355105282921566,38335
departure,59,4,0.020504420962554563,41440
departure,59,5,0.027404215282088504,29084
departure,60,1,0.026903721349594283,32747
departure,60,2,0.028360375845531305,33608
departure,60,3,0.020688184494972655,38329
departure,60,4,0.02113061818093899,41430
departure,60,5,0.027999557117669414,29079
