date,long,short,long_short,strategy,q,weighting
2018-07-31,0.022459571219283825,0.03606824637244139,-0.013608675153157564,tangible_heavy,10,value
2018-08-31,0.00216664565940517,-0.0022267968316726397,0.0043934424910778095,tangible_heavy,10,value
2018-09-28,-0.08770367619837566,-0.1176704388318801,0.029966762633504437,tangible_heavy,10,value
2018-10-31,-0.012210585974931307,0.028139602573715245,-0.040350188548646554,tangible_heavy,10,value
2018-11-30,-0.1385263307000837,-0.10184736212577629,-0.0366789685743074,tangible_heavy,10,value
2018-12-31,0.1174399016406299,0.08649876462755425,0.030941137013075645,tangible_heavy,10,value
2019-01-31,0.038793083069251735,0.045655176681352404,-0.006862093612100668,tangible_heavy,10,value
2019-02-28,-0.03103290627892778,-0.007998612781647199,-0.023034293497280582,tangible_heavy,10,value
2019-03-29,0.04458647719373142,0.05194694330327399,-0.0073604661095425725,tangible_heavy,10,value
2019-04-30,-0.09166414873213914,-0.13845200469410326,0.04678785596196412,tangible_heavy,10,value
2019-05-31,0.09871317666346789,0.0014929701162707128,0.09722020654719718,tangible_heavy,10,value
2019-06-28,-0.00044828187185316066,-0.017974073139080796,0.017525791267227635,tangible_heavy,10,value
2019-07-31,-0.1153140856680598,-0.09668033833639242,-0.01863374733166738,tangible_heavy,10,value
2019-08-30,-0.011348240170069331,0.05713657686673472,-0.06848481703680405,tangible_heavy,10,value
2019-09-30,-0.054670084825690426,0.009338065487881617,-0.06400815031357204,tangible_heavy,10,value
2019-10-31,0.0454555685254625,0.04671856855064828,-0.0012630000251857773,tangible_heavy,10,value
2019-11-29,0.07575516985847212,0.03941520885230622,0.036339961006165905,tangible_heavy,10,value
2019-12-31,-0.06803956247582146,-0.05626790483799882,-0.011771657637822647,tangible_heavy,10,value
2020-01-31,-0.08875928139721107,-0.10766935022567885,0.018910068828467783,tangible_heavy,10,value
2020-02-28,-0.08254048765403946,-0.27769469326149404,0.19515420560745458,tangible_heavy,10,value
2020-03-31,0.43553961199287256,0.15554373545345362,0.27999587653941893,tangible_heavy,10,value
2020-04-30,0.025701437517030908,0.03256039055089561,-0.0068589530338647,tangible_heavy,10,value
2020-05-29,0.14299307371472172,-0.002657352590549574,0.1456504263052713,tangible_heavy,10,value
2020-06-30,0.08331176439635143,0.003281878275037332,0.0800298861213141,tangible_heavy,10,value
2020-07-31,0.420705284105233,0.03398174392180113,0.38672354018343186,tangible_heavy,10,value
