date,one_way_turnover,strategy,q,weighting
2015-02-27,0.5914972273567468,nonmicrocap,5,equal
2015-03-31,0.7462962962962962,nonmicrocap,5,equal
2015-04-30,0.4018518518518519,nonmicrocap,5,equal
2015-05-29,0.7018518518518518,nonmicrocap,5,equal
2015-06-30,0.9740740740740741,nonmicrocap,5,equal
2015-07-31,0.45488029465930013,nonmicrocap,5,equal
2015-08-31,0.48066298342541436,nonmicrocap,5,equal
2015-09-30,0.4493554327808471,nonmicrocap,5,equal
2015-10-30,0.7451762523191094,nonmicrocap,5,equal
2015-11-30,0.7562770562770563,nonmicrocap,5,equal
2015-12-31,0.4378478664192951,nonmicrocap,5,equal
2016-01-29,0.8803738317757009,nonmicrocap,5,equal
2016-02-29,0.7725563909774436,nonmicrocap,5,equal
2016-03-31,0.4867924528301887,nonmicrocap,5,equal
2016-04-29,0.6938897993214881,nonmicrocap,5,equal
2016-05-31,0.6019047619047619,nonmicrocap,5,equal
2016-06-30,0.72,nonmicrocap,5,equal
2016-07-29,0.6800766283524904,nonmicrocap,5,equal
2016-08-31,0.6103646833013436,nonmicrocap,5,equal
2016-09-30,0.42553191489361697,nonmicrocap,5,equal
2016-10-31,0.4089147286821705,nonmicrocap,5,equal
2016-11-30,0.5005004891999699,nonmicrocap,5,equal
2016-12-30,0.622568093385214,nonmicrocap,5,equal
2017-01-31,0.6510721247563354,nonmicrocap,5,equal
2017-02-28,0.361328125,nonmicrocap,5,equal
2017-03-31,0.35882352941176465,nonmicrocap,5,equal
2017-04-28,0.4980392156862745,nonmicrocap,5,equal
2017-05-31,0.5137254901960784,nonmicrocap,5,equal
2017-06-30,0.6627450980392157,nonmicrocap,5,equal
2017-07-31,0.31764705882352934,nonmicrocap,5,equal
2017-08-31,0.35559921414538315,nonmicrocap,5,equal
2017-09-29,0.5765371751993825,nonmicrocap,5,equal
2017-10-31,0.5858894253526459,nonmicrocap,5,equal
2017-11-30,0.4015904572564613,nonmicrocap,5,equal
2017-12-29,0.5717131474103586,nonmicrocap,5,equal
2018-01-31,0.7231075697211153,nonmicrocap,5,equal
2018-02-28,0.42914171656686617,nonmicrocap,5,equal
2018-03-29,0.6487025948103793,nonmicrocap,5,equal
2018-04-30,0.6347305389221557,nonmicrocap,5,equal
2018-05-31,0.40718562874251496,nonmicrocap,5,equal
2018-06-29,0.6242544731610338,nonmicrocap,5,equal
2018-07-31,0.8373015873015871,nonmicrocap,5,equal
2018-08-31,0.3846298915605846,nonmicrocap,5,equal
2018-09-28,0.6521805752003771,nonmicrocap,5,equal
2018-10-31,0.6924603174603174,nonmicrocap,5,equal
2018-11-30,0.4761904761904761,nonmicrocap,5,equal
2018-12-31,0.4433399602385686,nonmicrocap,5,equal
2019-01-31,0.7005988023952094,nonmicrocap,5,equal
2019-02-28,0.5691382765531062,nonmicrocap,5,equal
2019-03-29,0.7555110220440884,nonmicrocap,5,equal
2019-04-30,0.7608176352705411,nonmicrocap,5,equal
2019-05-31,0.44710578842315374,nonmicrocap,5,equal
2019-06-28,0.8127490039840637,nonmicrocap,5,equal
2019-07-31,1.058557385843668,nonmicrocap,5,equal
2019-08-30,0.7706933005143741,nonmicrocap,5,equal
2019-09-30,0.8406374501992031,nonmicrocap,5,equal
2019-10-31,0.49402390438247,nonmicrocap,5,equal
2019-11-29,0.7649402390438247,nonmicrocap,5,equal
2019-12-31,0.7915831663326652,nonmicrocap,5,equal
2020-01-31,0.5911823647294587,nonmicrocap,5,equal
2020-02-28,0.77,nonmicrocap,5,equal
2020-03-31,0.836,nonmicrocap,5,equal
2020-04-30,0.738227458933932,nonmicrocap,5,equal
2020-05-29,0.9108860290862852,nonmicrocap,5,equal
2020-06-30,0.9386641131932156,nonmicrocap,5,equal
2020-07-31,0.4704609218436874,nonmicrocap,5,equal
2020-08-31,0.46613545816733065,nonmicrocap,5,equal
2020-09-30,0.4369655085360851,nonmicrocap,5,equal
2020-10-30,0.6863620190894605,nonmicrocap,5,equal
2020-11-30,0.685546875,nonmicrocap,5,equal
2020-12-31,0.5184466019417476,nonmicrocap,5,equal
2021-01-29,1.2046332046332047,nonmicrocap,5,equal
2021-02-26,0.4971319311663481,nonmicrocap,5,equal
2021-03-31,0.7909040785931145,nonmicrocap,5,equal
2021-04-30,0.4213483146067416,nonmicrocap,5,equal
2021-05-28,0.6171003717472119,nonmicrocap,5,equal
2021-06-30,0.7892800075831438,nonmicrocap,5,equal
2021-07-30,0.6672354612167601,nonmicrocap,5,equal
2021-08-31,0.681081081081081,nonmicrocap,5,equal
2021-09-30,0.35778175313059035,nonmicrocap,5,equal
2021-10-29,0.6423487544483986,nonmicrocap,5,equal
2021-11-30,0.7171454653849019,nonmicrocap,5,equal
2021-12-31,0.36638399852520964,nonmicrocap,5,equal
2022-01-31,1.345549738219895,nonmicrocap,5,equal
2022-02-28,0.39763820226085583,nonmicrocap,5,equal
2022-03-31,0.37493843150847367,nonmicrocap,5,equal
2022-04-29,0.5313588850174216,nonmicrocap,5,equal
2022-05-31,0.578397212543554,nonmicrocap,5,equal
2022-06-30,0.6916376306620209,nonmicrocap,5,equal
2022-07-29,0.5741710296684118,nonmicrocap,5,equal
2022-08-31,0.5174825174825175,nonmicrocap,5,equal
2022-09-30,0.37762237762237766,nonmicrocap,5,equal
2022-10-31,0.42206654991243436,nonmicrocap,5,equal
2022-11-30,0.4017543859649123,nonmicrocap,5,equal
2022-12-30,0.5352112676056338,nonmicrocap,5,equal
2023-01-31,0.6613756613756614,nonmicrocap,5,equal
2023-02-28,0.36283185840707965,nonmicrocap,5,equal
2023-03-31,0.3754448398576512,nonmicrocap,5,equal
2023-04-28,0.41964285714285715,nonmicrocap,5,equal
2023-05-31,0.4221824686940967,nonmicrocap,5,equal
2023-06-30,0.697841726618705,nonmicrocap,5,equal
2023-07-31,0.32612612612612607,nonmicrocap,5,equal
2023-08-31,0.39963833634719714,nonmicrocap,5,equal
2023-09-29,0.4909420289855072,nonmicrocap,5,equal
2023-10-31,0.5195182313149646,nonmicrocap,5,equal
2023-11-30,0.4434306569343066,nonmicrocap,5,equal
2023-12-29,0.5716911764705883,nonmicrocap,5,equal
2024-01-31,0.6721915285451197,nonmicrocap,5,equal
2024-02-29,0.3834172595869605,nonmicrocap,5,equal
2024-03-28,0.7689463955637708,nonmicrocap,5,equal
2024-04-30,0.7333333333333334,nonmicrocap,5,equal
2024-05-31,0.4148148148148148,nonmicrocap,5,equal
