strategy,q,weighting,n_obs,n_months,mean_turnover,mean_ann,vol_ann,sharpe,max_drawdown,net10_mean_ann,net10_sharpe,alpha_month,alpha_ann,t_alpha,boot_mean_ann,boot_ci_low,boot_ci_high,nw_t_monthly_return
nonmicrocap_high_spread_months,5,value,148515,55,0.8465642540079841,0.10721529524108478,0.18909963861091603,0.5669777902732366,-0.28420405373880997,0.09724122912113613,0.5135078439467397,0.008198796893969684,0.09838556272763621,0.800406308049681,0.04942722990403477,-0.11145035131614019,0.28073541650448547,0.9624220800402814
high_ocf_state,10,value,196325,119,1.0572014661194304,0.14964680454292395,0.2764851120806141,0.5412472426337798,-0.32338775721361257,0.13706699550069612,0.49577405699358,0.01228675994945751,0.14744111939349014,1.8086041758039952,0.17831726077302937,0.03328173953480377,0.32935455783573053,1.7902529140146628
high_ocf_state,5,value,196325,119,0.9721215486601954,0.11613891306145033,0.2184499505373261,0.5316499856181286,-0.4096616897294103,0.10457148354125845,0.4784089182853894,0.011802980605560355,0.14163576726672425,1.534213788123785,0.12451655082763075,-0.027042364409497116,0.32434915313391816,1.3467292287927641
high_analyst_coverage,5,value,112869,83,0.7293455288866917,0.06969847899257595,0.1356226605972066,0.5139147004317914,-0.32157056154644037,0.061051780192280754,0.44995921214009726,0.004112269415676704,0.04934723298812045,0.8750152109707681,0.03163201834939521,-0.08403244497840481,0.14201261052117006,1.1570016664126914
nonmicrocap,5,value,314024,119,0.9254963474278806,0.07898160678521976,0.15622268193684977,0.5055706751798479,-0.4057636612729181,0.06796897797885101,0.4350665439010353,0.006268894517171297,0.07522673420605556,1.1470528754991662,0.06524306555339969,-0.05292788756134928,0.1913895023529664,1.302616901678812
low_analyst_intangible,10,value,50592,83,0.9024113182575834,0.1943057201880241,0.3946902869376092,0.4922992194604957,-0.6459847850449024,0.18360725347518714,0.4653067157537325,0.012970798042947606,0.15564957651537126,1.2100210611253828,0.11843496343846613,-0.126049227851923,0.43431992157199756,1.121168174142139
tangible_heavy,5,value,192704,119,0.9822592750721763,0.06779039234382306,0.13994490513097627,0.4844077194548608,-0.3250962236896968,0.05610233239842638,0.40094649945245264,0.0050877953018702024,0.06105354362244243,1.1788034421068692,0.06128742646896536,-0.020193210511221884,0.15261951723496842,1.456146681966204
all_high_spread_months,5,value,185668,55,0.8904661818123666,0.10123314037940387,0.21732930750675297,0.4658052866443625,-0.30484995976273466,0.09074182972823266,0.417092235173318,0.009671789605633897,0.11606147526760677,0.8662415556776689,0.05448874486437525,-0.1134014364834346,0.2573116773747796,0.8953916313858166
nonmicrocap,5,equal,314024,119,0.6019761922508168,0.042821368802085445,0.10334618963064335,0.4143487917177007,-0.3146289801463604,0.035658357976647154,0.3450703807829222,0.0043227281084324345,0.051872737301189215,1.7680858492311002,0.0519807967600359,-0.01563050892746648,0.1158341315757028,1.266659353364833
high_analyst_coverage,10,equal,112869,83,0.6745670398630944,0.06886809078819156,0.18192442144799417,0.37855330383930086,-0.2938501298137136,0.06087081407463392,0.3345210760908733,0.00528172379643046,0.06338068555716553,1.0984745790244725,0.0818335212975,-0.03236995857832573,0.18408448564137203,1.161722483809409
all_high_spread_months,10,value,185394,55,0.998112019587505,0.09519359109154037,0.2527802152211432,0.3765863994073304,-0.2692847051274996,0.08343401675167297,0.3300954020521468,0.010643557256388091,0.1277226870766571,1.4518925332231736,0.12378085182733178,-0.01157855896917729,0.28718749180180153,0.9193521877528278
low_analyst_coverage,10,value,100106,83,0.8557938894808962,0.0913568772916894,0.2886752305281258,0.31646940101010307,-0.613491466888867,0.08121107985495207,0.28131888806564953,0.0037030943861372004,0.0444371326336464,0.424089615927802,0.06703675876483375,-0.20659442339951778,0.34012845074337295,0.6067936431844833
low_analyst_intangible,5,value,50592,83,0.8089016951715632,0.08432444264458963,0.2746270471360453,0.30705075674071103,-0.5961881469446957,0.0747345719452063,0.27217057410668305,0.0037673999127156572,0.045208798952587885,0.4554014184041805,0.04448838519446666,-0.1724012015752217,0.2965559703546426,0.5936764700398819
low_analyst_coverage,5,value,100106,83,0.7703792964831683,0.04194081235900791,0.15003982703875024,0.2795311963947813,-0.43827249072032903,0.03280764094046046,0.21879550278125734,0.00175446888518414,0.021053626622209682,0.315864300164629,0.034491480246383016,-0.1375397488926471,0.1981187717860171,0.5154501961155202
low_analyst_coverage_high_spread_months,10,value,53210,43,0.8863774966952488,0.09027369498309838,0.3762586268996403,0.23992458519011484,-0.5431961900451496,0.0798845261846238,0.21235504464354313,0.004365888578764064,0.05239066294516877,0.3154549649755682,0.020918214551392644,-0.41026371186265,0.5547055308466051,0.3604617449557791
intangible_heavy,10,value,192762,119,1.0100629491619715,0.06105096974975577,0.26432536665006146,0.23096901566235498,-0.4553106334121809,0.049032069447122545,0.18550948807189796,0.004067527895389868,0.04881033474467841,0.6493240873525723,0.06934002547146782,-0.08309636286567443,0.20900737663201968,0.8421393591776947
nonmicrocap_high_spread_months,5,equal,148515,55,0.6009930839122896,0.024396101638368514,0.12633436877857318,0.19310740121025713,-0.23584351049533792,0.017315310395183692,0.13711376779106135,0.003180105273223518,0.03816126327868222,0.8722219572131868,0.016112230099879422,-0.09045916645548914,0.11963060376575733,0.4400765497646291
